src,dst,add_st,mul_st
19,14,2.0,1.6666666666666667
19,15,-1.0,0.8
19,16,0.0,1.0
19,17,2.0,1.6666666666666667
19,18,0.0,1.0
19,20,0.0,1.0
19,21,2.0,1.6666666666666667
19,22,0.0,1.0
19,23,0.0,1.0
20,1,0.0,1.0
20,2,0.0,1.0
20,3,0.0,1.0
20,4,-2.0,0.6
20,5,-1.0,0.8
20,6,0.0,1.0
20,7,1.0,1.3333333333333333
20,8,0.0,1.0
20,9,1.0,1.3333333333333333
20,10,1.0,1.3333333333333333
20,11,0.0,1.0
20,12,1.0,1.3333333333333333
20,13,0.0,1.0
20,14,0.0,1.0
20,15,1.0,1.5
20,16,0.0,1.0
20,17,2.0,2.0
20,18,-1.0,0.8
20,19,0.0,1.0
20,21,0.0,1.0
20,22,2.0,2.0
20,23,2.0,1.6666666666666667
21,1,2.0,1.6666666666666667
21,2,1.0,1.3333333333333333
21,3,2.0,2.0
21,4,-1.0,0.75
21,5,-1.0,0.8
21,6,1.0,1.3333333333333333
21,7,3.0,2.5
21,8,-1.0,0.8333333333333334
21,9,0.0,1.0
21,10,2.0,1.6666666666666667
21,11,1.0,1.3333333333333333
21,12,1.0,1.25
21,13,0.0,1.0
21,14,1.0,1.3333333333333333
21,15,-1.0,0.8
21,16,0.0,1.0
21,17,1.0,1.3333333333333333
21,18,3.0,2.5
21,19,2.0,1.6666666666666667
21,20,0.0,1.0
21,22,-1.0,0.8
21,23,1.0,1.25
22,1,-1.0,0.8
22,2,1.0,1.3333333333333333
22,3,-1.0,0.75
22,4,0.0,1.0
22,5,-1.0,0.8
22,6,-1.0,0.8
22,7,0.0,1.0
22,8,0.0,1.0
22,9,1.0,1.25
22,10,2.0,1.6666666666666667
22,11,0.0,1.0
22,12,2.0,2.0
22,13,0.0,1.0
22,14,-1.0,0.8
22,15,1.0,1.3333333333333333
22,16,0.0,1.0
22,17,1.0,1.3333333333333333
22,18,1.0,1.25
22,19,0.0,1.0
22,20,2.0,2.0
22,21,-1.0,0.8
22,23,1.0,1.25
23,1,0.0,1.0
23,2,2.0,2.0
23,3,0.0,1.0
23,4,1.0,1.3333333333333333
23,5,-2.0,0.6
23,6,0.0,1.0
23,7,2.0,1.6666666666666667
23,8,-1.0,0.8333333333333334
23,9,-1.0,0.8
23,10,1.0,1.3333333333333333
23,11,0.0,1.0
23,12,2.0,1.6666666666666667
23,13,2.0,1.6666666666666667
23,14,1.0,1.25
23,15,0.0,1.0
23,16,0.0,1.0
23,17,3.0,2.5
23,18,2.0,1.6666666666666667
23,19,0.0,1.0
23,20,2.0,1.6666666666666667
23,21,1.0,1.25
23,22,1.0,1.25
